Iteracja;rozmiar;szukana;wynik;czas;ile operacji
0;5368709;1001;-1;719;23
1;10737418;1001;-1;7;24
2;16106127;1001;-1;7;24
3;21474836;1001;-1;10;25
4;26843545;1001;-1;8;25
5;32212254;1001;-1;8;25
6;37580963;1001;-1;9;26
7;42949672;1001;-1;8;26
8;48318381;1001;-1;10;26
9;53687090;1001;-1;8;26
10;59055799;1001;-1;9;26
11;64424508;1001;-1;9;26
12;69793217;1001;-1;9;27
13;75161926;1001;-1;9;27
14;80530635;1001;-1;10;27
15;85899344;1001;-1;9;27
16;91268053;1001;-1;9;27
17;96636762;1001;-1;9;27
18;102005471;1001;-1;8;27
19;107374180;1001;-1;10;27
20;112742889;1001;-1;15;27
21;118111598;1001;-1;20;27
22;123480307;1001;-1;9;27
23;128849016;1001;-1;9;27
24;134217725;1001;-1;9;27
25;139586434;1001;-1;9;28
26;144955143;1001;-1;10;28
27;150323852;1001;-1;21;28
28;155692561;1001;-1;9;28
29;161061270;1001;-1;9;28
30;166429979;1001;-1;10;28
31;171798688;1001;-1;10;28
32;177167397;1001;-1;11;28
33;182536106;1001;-1;17;28
34;187904815;1001;-1;12;28
35;193273524;1001;-1;17;28
36;198642233;1001;-1;14;28
37;204010942;1001;-1;21;28
38;209379651;1001;-1;10;28
39;214748360;1001;-1;10;28
40;220117069;1001;-1;15;28
